,Species,Spacing (m),Yield Class,Management,Period (year),Carbon Standing (tCO2e/ ha/yr),Debris (tCO2e/ha/yr),Total (tCO2/ha/yr),Cumulative       in-period (tCO2e/ha/ 5yr period),Cum. Biomass Sequestrn (tCO2e/ha),Cum. Emis. Ongoing Mgmt (tCO2e/ha),Cumulative Total Sequestrn (tCO2e/ha),Removed from Forest (tCO2e/ha/yr)
DF1.720Thinned120,DF ,1.7,20,Thinned,120-125,0.62,-0.25,0.37,1.9,988.4,-18.29,970.1,2.98
DF1.720Thinned125,DF ,1.7,20,Thinned,125-130,0.33,-0.24,0.09,0.5,988.9,-18.69,970.2,2.81
DF1.720Thinned130,DF ,1.7,20,Thinned,130-135,0.08,-0.23,-0.16,-0.8,988.1,-19.07,969.0,2.64
DF1.720Thinned135,DF ,1.7,20,Thinned,135-140,-0.16,-0.23,-0.39,-1.9,986.1,-19.42,966.7,2.49
DF1.720Thinned140,DF ,1.7,20,Thinned,140-145,-0.32,-0.22,-0.53,-2.7,983.5,-19.75,963.7,2.35
DF1.720Thinned145,DF ,1.7,20,Thinned,145-150,-0.49,-0.21,-0.70,-3.5,980.0,-20.06,959.9,2.21
DF1.720Thinned150,DF ,1.7,20,Thinned,150-155,-0.62,-0.20,-0.82,-4.1,975.9,-20.36,955.5,2.08
DF1.720Thinned155,DF ,1.7,20,Thinned,155-160,-0.72,-0.19,-0.92,-4.6,971.3,-20.64,950.7,1.96
DF1.720Thinned160,DF ,1.7,20,Thinned,160-165,-0.81,-0.19,-0.99,-5.0,966.3,-20.90,945.4,1.85
DF1.720Thinned165,DF ,1.7,20,Thinned,165-170,-0.88,-0.18,-1.06,-5.3,961.1,-21.15,939.9,1.75
DF1.720Thinned170,DF ,1.7,20,Thinned,170-175,-0.93,-0.17,-1.10,-5.5,955.6,-21.38,934.2,1.65
DF1.720Thinned175,DF ,1.7,20,Thinned,175-180,-0.99,-0.16,-1.15,-5.7,949.8,-21.60,928.2,1.55
DF1.720Thinned180,DF ,1.7,20,Thinned,180-185,-0.99,-0.16,-1.15,-5.7,944.1,-21.81,922.3,1.46
DF1.720Thinned185,DF ,1.7,20,Thinned,185-190,-1.02,-0.15,-1.17,-5.8,938.2,-22.00,916.2,1.38
DF1.720Thinned190,DF ,1.7,20,Thinned,190-195,-1.03,-0.14,-1.17,-5.9,932.4,-22.19,910.2,1.30
DF1.720Thinned195,DF ,1.7,20,Thinned,195-200,-1.05,-0.13,-1.19,-5.9,926.5,-22.36,904.1,1.23
DF1.722NO_thin000,DF ,1.7,22,NO_thin,  0-5,4.37,2.35,6.72,33.6,33.6,0.00,33.6,0.00
DF1.722NO_thin005,DF ,1.7,22,NO_thin,  5-10,13.33,2.90,16.23,81.2,114.8,0.00,114.8,0.00
DF1.722NO_thin010,DF ,1.7,22,NO_thin, 10-15,32.47,4.14,36.61,183.1,297.8,0.00,297.8,0.00
DF1.722NO_thin015,DF ,1.7,22,NO_thin, 15-20,29.59,5.39,34.98,174.9,472.7,0.00,472.7,0.00
DF1.722NO_thin020,DF ,1.7,22,NO_thin, 20-25,18.41,8.13,26.55,132.7,605.5,0.00,605.5,0.00
DF1.722NO_thin025,DF ,1.7,22,NO_thin, 25-30,22.48,6.23,28.71,143.6,749.0,0.00,749.0,0.00
DF1.722NO_thin030,DF ,1.7,22,NO_thin, 30-35,22.47,2.67,25.13,125.7,874.7,0.00,874.7,0.00
DF1.722NO_thin035,DF ,1.7,22,NO_thin, 35-40,21.04,0.37,21.42,107.1,981.8,0.00,981.8,0.00
DF1.722NO_thin040,DF ,1.7,22,NO_thin, 40-45,19.24,-0.86,18.38,91.9,1073.7,0.00,1073.7,0.00
DF1.722NO_thin045,DF ,1.7,22,NO_thin, 45-50,17.37,-1.39,15.98,79.9,1153.5,0.00,1153.5,0.00
DF1.722NO_thin050,DF ,1.7,22,NO_thin, 50-55,15.61,-1.51,14.10,70.5,1224.0,0.00,1224.0,0.00
DF1.722NO_thin055,DF ,1.7,22,NO_thin, 55-60,14.23,-1.28,12.95,64.8,1288.8,0.00,1288.8,0.00
DF1.722NO_thin060,DF ,1.7,22,NO_thin, 60-65,13.07,-0.76,12.31,61.6,1350.3,0.00,1350.3,0.00
DF1.722NO_thin065,DF ,1.7,22,NO_thin, 65-70,11.91,-1.03,10.88,54.4,1404.7,0.00,1404.7,0.00
DF1.722NO_thin070,DF ,1.7,22,NO_thin, 70-75,10.76,-0.79,9.97,49.9,1454.6,0.00,1454.6,0.00
DF1.722NO_thin075,DF ,1.7,22,NO_thin, 75-80,9.67,-0.55,9.12,45.6,1500.2,0.00,1500.2,0.00
DF1.722NO_thin080,DF ,1.7,22,NO_thin, 80-85,8.57,-1.00,7.57,37.9,1538.1,0.00,1538.1,0.00
DF1.722NO_thin085,DF ,1.7,22,NO_thin, 85-90,7.66,-0.88,6.79,33.9,1572.0,0.00,1572.0,0.00
DF1.722NO_thin090,DF ,1.7,22,NO_thin, 90-95,6.82,-0.80,6.02,30.1,1602.1,0.00,1602.1,0.00
DF1.722NO_thin095,DF ,1.7,22,NO_thin, 95-100,6.13,-0.71,5.41,27.1,1629.2,0.00,1629.2,0.00
DF1.722NO_thin100,DF ,1.7,22,NO_thin,100-105,5.48,-0.62,4.86,24.3,1653.5,0.00,1653.5,0.00
DF1.722NO_thin105,DF ,1.7,22,NO_thin,105-110,4.86,-0.56,4.31,21.5,1675.0,0.00,1675.0,0.00
DF1.722NO_thin110,DF ,1.7,22,NO_thin,110-115,4.37,-0.50,3.86,19.3,1694.3,0.00,1694.3,0.00
DF1.722NO_thin115,DF ,1.7,22,NO_thin,115-120,3.92,-0.45,3.47,17.4,1711.7,0.00,1711.7,0.00
DF1.722NO_thin120,DF ,1.7,22,NO_thin,120-125,3.52,-0.40,3.12,15.6,1727.3,0.00,1727.3,0.00
DF1.722NO_thin125,DF ,1.7,22,NO_thin,125-130,3.13,-0.36,2.77,13.9,1741.2,0.00,1741.2,0.00
DF1.722NO_thin130,DF ,1.7,22,NO_thin,130-135,2.83,-0.32,2.51,12.5,1753.7,0.00,1753.7,0.00
DF1.722NO_thin135,DF ,1.7,22,NO_thin,135-140,2.52,-0.29,2.24,11.2,1764.9,0.00,1764.9,0.00
DF1.722NO_thin140,DF ,1.7,22,NO_thin,140-145,2.30,-0.26,2.04,10.2,1775.1,0.00,1775.1,0.00
DF1.722NO_thin145,DF ,1.7,22,NO_thin,145-150,2.04,-0.22,1.82,9.1,1784.2,0.00,1784.2,0.00
DF1.722NO_thin150,DF ,1.7,22,NO_thin,150-155,1.77,-0.20,1.57,7.8,1792.0,0.00,1792.0,0.00
DF1.722NO_thin155,DF ,1.7,22,NO_thin,155-160,1.63,-0.18,1.46,7.3,1799.3,0.00,1799.3,0.00
DF1.722NO_thin160,DF ,1.7,22,NO_thin,160-165,1.51,-0.16,1.35,6.7,1806.0,0.00,1806.0,0.00
DF1.722NO_thin165,DF ,1.7,22,NO_thin,165-170,1.30,-0.14,1.16,5.8,1811.8,0.00,1811.8,0.00
DF1.722NO_thin170,DF ,1.7,22,NO_thin,170-175,1.20,-0.13,1.07,5.3,1817.2,0.00,1817.2,0.00
DF1.722NO_thin175,DF ,1.7,22,NO_thin,175-180,1.02,-0.11,0.91,4.6,1821.7,0.00,1821.7,0.00
DF1.722NO_thin180,DF ,1.7,22,NO_thin,180-185,0.95,-0.10,0.86,4.3,1826.0,0.00,1826.0,0.00
DF1.722NO_thin185,DF ,1.7,22,NO_thin,185-190,0.90,-0.08,0.82,4.1,1830.1,0.00,1830.1,0.00
DF1.722NO_thin190,DF ,1.7,22,NO_thin,190-195,0.80,-0.08,0.72,3.6,1833.7,0.00,1833.7,0.00
DF1.722NO_thin195,DF ,1.7,22,NO_thin,195-200,0.65,-0.07,0.58,2.9,1836.6,0.00,1836.6,0.00
DF1.722Thinned000,DF ,1.7,22,Thinned,  0-5,4.37,2.35,6.72,33.6,33.6,0.00,33.6,0.00
DF1.722Thinned005,DF ,1.7,22,Thinned,  5-10,13.33,2.90,16.23,81.2,114.8,0.00,114.8,0.00
DF1.722Thinned010,DF ,1.7,22,Thinned, 10-15,32.47,4.14,36.61,183.1,297.8,0.00,297.8,0.00
DF1.722Thinned015,DF ,1.7,22,Thinned, 15-20,1.31,5.06,6.37,31.9,329.7,-0.41,329.3,23.63
DF1.722Thinned020,DF ,1.7,22,Thinned, 20-25,11.89,-0.94,10.95,54.8,384.4,-0.71,383.7,17.33
DF1.722Thinned025,DF ,1.7,22,Thinned, 25-30,15.00,3.69,18.69,93.5,477.9,-2.25,475.7,10.87
DF1.722Thinned030,DF ,1.7,22,Thinned, 30-35,15.39,1.96,17.36,86.8,564.7,-3.80,560.9,10.94
DF1.722Thinned035,DF ,1.7,22,Thinned, 35-40,13.23,-0.05,13.18,65.9,630.6,-5.41,625.2,11.36
DF1.722Thinned040,DF ,1.7,22,Thinned, 40-45,10.41,-0.74,9.67,48.3,679.0,-7.02,672.0,11.35
DF1.722Thinned045,DF ,1.7,22,Thinned, 45-50,9.70,-1.30,8.40,42.0,721.0,-8.49,712.5,10.37
DF1.722Thinned050,DF ,1.7,22,Thinned, 50-55,10.29,-1.66,8.63,43.2,764.1,-9.72,754.4,8.69
DF1.722Thinned055,DF ,1.7,22,Thinned, 55-60,9.81,-1.24,8.57,42.9,807.0,-10.79,796.2,7.54
DF1.722Thinned060,DF ,1.7,22,Thinned, 60-65,9.53,-0.90,8.64,43.2,850.2,-11.76,838.4,6.86
DF1.722Thinned065,DF ,1.7,22,Thinned, 65-70,8.44,-0.62,7.82,39.1,889.3,-12.66,876.6,6.36
DF1.722Thinned070,DF ,1.7,22,Thinned, 70-75,7.94,-0.45,7.49,37.4,926.7,-13.51,913.2,5.99
DF1.722Thinned075,DF ,1.7,22,Thinned, 75-80,6.97,-0.27,6.70,33.5,960.2,-14.31,945.9,5.68
DF1.722Thinned080,DF ,1.7,22,Thinned, 80-85,5.40,-0.25,5.15,25.7,985.9,-15.08,970.9,5.39
DF1.722Thinned085,DF ,1.7,22,Thinned, 85-90,4.47,-0.23,4.24,21.2,1007.1,-15.80,991.3,5.11
DF1.722Thinned090,DF ,1.7,22,Thinned, 90-95,3.64,-0.22,3.41,17.1,1024.2,-16.49,1007.7,4.85
DF1.722Thinned095,DF ,1.7,22,Thinned, 95-100,2.82,-0.23,2.59,13.0,1037.2,-17.14,1020.0,4.60
DF1.722Thinned100,DF ,1.7,22,Thinned,100-105,2.13,-0.23,1.89,9.5,1046.6,-17.76,1028.9,4.37
DF1.722Thinned105,DF ,1.7,22,Thinned,105-110,1.53,-0.24,1.29,6.5,1053.1,-18.35,1034.7,4.15
DF1.722Thinned110,DF ,1.7,22,Thinned,110-115,0.98,-0.25,0.74,3.7,1056.8,-18.91,1037.9,3.94
DF1.722Thinned115,DF ,1.7,22,Thinned,115-120,0.58,-0.25,0.33,1.7,1058.4,-19.44,1039.0,3.74
DF1.722Thinned120,DF ,1.7,22,Thinned,120-125,0.16,-0.25,-0.08,-0.4,1058.0,-19.94,1038.1,3.56
DF1.722Thinned125,DF ,1.7,22,Thinned,125-130,-0.18,-0.24,-0.42,-2.1,1055.9,-20.42,1035.5,3.38
DF1.722Thinned130,DF ,1.7,22,Thinned,130-135,-0.49,-0.24,-0.73,-3.6,1052.3,-20.87,1031.4,3.22
DF1.722Thinned135,DF ,1.7,22,Thinned,135-140,-0.69,-0.23,-0.92,-4.6,1047.7,-21.31,1026.4,3.06
DF1.722Thinned140,DF ,1.7,22,Thinned,140-145,-0.95,-0.23,-1.18,-5.9,1041.8,-21.72,1020.1,2.91
DF1.722Thinned145,DF ,1.7,22,Thinned,145-150,-1.08,-0.22,-1.30,-6.5,1035.3,-22.11,1013.2,2.77
DF1.722Thinned150,DF ,1.7,22,Thinned,150-155,-1.25,-0.22,-1.47,-7.4,1027.9,-22.49,1005.4,2.63
DF1.722Thinned155,DF ,1.7,22,Thinned,155-160,-1.37,-0.21,-1.58,-7.9,1020.0,-22.84,997.2,2.51
DF1.722Thinned160,DF ,1.7,22,Thinned,160-165,-1.47,-0.21,-1.67,-8.4,1011.6,-23.18,988.5,2.38
DF1.722Thinned165,DF ,1.7,22,Thinned,165-170,-1.54,-0.20,-1.74,-8.7,1002.9,-23.50,979.4,2.27
DF1.722Thinned170,DF ,1.7,22,Thinned,170-175,-1.60,-0.19,-1.80,-9.0,993.9,-23.81,970.1,2.16
DF1.722Thinned175,DF ,1.7,22,Thinned,175-180,-1.66,-0.19,-1.84,-9.2,984.7,-24.10,960.6,2.06
DF1.722Thinned180,DF ,1.7,22,Thinned,180-185,-1.66,-0.18,-1.84,-9.2,975.5,-24.38,951.1,1.96
DF1.722Thinned185,DF ,1.7,22,Thinned,185-190,-1.69,-0.17,-1.86,-9.3,966.2,-24.64,941.6,1.87
DF1.722Thinned190,DF ,1.7,22,Thinned,190-195,-1.70,-0.17,-1.87,-9.3,956.9,-24.89,932.0,1.78
DF1.722Thinned195,DF ,1.7,22,Thinned,195-200,-1.68,-0.16,-1.84,-9.2,947.7,-25.13,922.5,1.69
DF1.724NO_thin000,DF ,1.7,24,NO_thin,  0-5,5.55,2.66,8.21,41.0,41.0,0.00,41.0,0.00
DF1.724NO_thin005,DF ,1.7,24,NO_thin,  5-10,16.94,3.28,20.21,101.1,142.1,0.00,142.1,0.00
DF1.724NO_thin010,DF ,1.7,24,NO_thin, 10-15,34.80,4.68,39.47,197.4,339.5,0.00,339.5,0.00
DF1.724NO_thin015,DF ,1.7,24,NO_thin, 15-20,26.80,6.85,33.65,168.2,507.7,0.00,507.7,0.00
DF1.724NO_thin020,DF ,1.7,24,NO_thin, 20-25,21.13,8.44,29.57,147.9,655.6,0.00,655.6,0.00
DF1.724NO_thin025,DF ,1.7,24,NO_thin, 25-30,24.55,5.60,30.15,150.7,806.3,0.00,806.3,0.00
DF1.724NO_thin030,DF ,1.7,24,NO_thin, 30-35,24.32,2.45,26.78,133.9,940.2,0.00,940.2,0.00
DF1.724NO_thin035,DF ,1.7,24,NO_thin, 35-40,22.61,0.25,22.86,114.3,1054.5,0.00,1054.5,0.00
DF1.724NO_thin040,DF ,1.7,24,NO_thin, 40-45,20.50,-1.08,19.41,97.1,1151.6,0.00,1151.6,0.00
DF1.724NO_thin045,DF ,1.7,24,NO_thin, 45-50,18.36,-1.52,16.84,84.2,1235.8,0.00,1235.8,0.00
DF1.724NO_thin050,DF ,1.7,24,NO_thin, 50-55,16.65,-1.50,15.15,75.8,1311.5,0.00,1311.5,0.00
DF1.724NO_thin055,DF ,1.7,24,NO_thin, 55-60,15.33,-1.34,13.99,70.0,1381.5,0.00,1381.5,0.00
DF1.724NO_thin060,DF ,1.7,24,NO_thin, 60-65,13.84,-0.96,12.87,64.4,1445.8,0.00,1445.8,0.00
DF1.724NO_thin065,DF ,1.7,24,NO_thin, 65-70,12.67,-1.09,11.58,57.9,1503.7,0.00,1503.7,0.00
DF1.724NO_thin070,DF ,1.7,24,NO_thin, 70-75,11.47,-1.20,10.27,51.3,1555.1,0.00,1555.1,0.00
DF1.724NO_thin075,DF ,1.7,24,NO_thin, 75-80,10.05,-0.93,9.12,45.6,1600.7,0.00,1600.7,0.00
DF1.724NO_thin080,DF ,1.7,24,NO_thin, 80-85,8.81,-0.79,8.02,40.1,1640.7,0.00,1640.7,0.00
DF1.724NO_thin085,DF ,1.7,24,NO_thin, 85-90,8.06,-0.91,7.15,35.7,1676.5,0.00,1676.5,0.00
DF1.724NO_thin090,DF ,1.7,24,NO_thin, 90-95,7.20,-0.83,6.38,31.9,1708.4,0.00,1708.4,0.00
DF1.724NO_thin095,DF ,1.7,24,NO_thin, 95-100,6.43,-0.75,5.68,28.4,1736.7,0.00,1736.7,0.00
DF1.724NO_thin100,DF ,1.7,24,NO_thin,100-105,5.79,-0.68,5.11,25.5,1762.3,0.00,1762.3,0.00
DF1.724NO_thin105,DF ,1.7,24,NO_thin,105-110,5.15,-0.60,4.55,22.7,1785.0,0.00,1785.0,0.00
DF1.724NO_thin110,DF ,1.7,24,NO_thin,110-115,4.62,-0.54,4.08,20.4,1805.4,0.00,1805.4,0.00
DF1.724NO_thin115,DF ,1.7,24,NO_thin,115-120,4.15,-0.48,3.66,18.3,1823.7,0.00,1823.7,0.00
DF1.724NO_thin120,DF ,1.7,24,NO_thin,120-125,3.72,-0.43,3.29,16.5,1840.2,0.00,1840.2,0.00
DF1.724NO_thin125,DF ,1.7,24,NO_thin,125-130,3.34,-0.39,2.95,14.8,1854.9,0.00,1854.9,0.00
DF1.724NO_thin130,DF ,1.7,24,NO_thin,130-135,2.97,-0.34,2.63,13.2,1868.1,0.00,1868.1,0.00
DF1.724NO_thin135,DF ,1.7,24,NO_thin,135-140,2.69,-0.31,2.38,11.9,1880.0,0.00,1880.0,0.00
DF1.724NO_thin140,DF ,1.7,24,NO_thin,140-145,2.42,-0.28,2.15,10.7,1890.7,0.00,1890.7,0.00
DF1.724NO_thin145,DF ,1.7,24,NO_thin,145-150,2.18,-0.25,1.93,9.7,1900.3,0.00,1900.3,0.00
DF1.724NO_thin150,DF ,1.7,24,NO_thin,150-155,1.93,-0.21,1.72,8.6,1908.9,0.00,1908.9,0.00
DF1.724NO_thin155,DF ,1.7,24,NO_thin,155-160,1.71,-0.20,1.51,7.6,1916.5,0.00,1916.5,0.00
DF1.724NO_thin160,DF ,1.7,24,NO_thin,160-165,1.60,-0.17,1.43,7.1,1923.6,0.00,1923.6,0.00
DF1.724NO_thin165,DF ,1.7,24,NO_thin,165-170,1.31,-0.15,1.16,5.8,1929.4,0.00,1929.4,0.00
DF1.724NO_thin170,DF ,1.7,24,NO_thin,170-175,1.31,-0.13,1.18,5.9,1935.3,0.00,1935.3,0.00
DF1.724NO_thin175,DF ,1.7,24,NO_thin,175-180,1.10,-0.12,0.98,4.9,1940.2,0.00,1940.2,0.00
DF1.724NO_thin180,DF ,1.7,24,NO_thin,180-185,1.03,-0.11,0.92,4.6,1944.8,0.00,1944.8,0.00
DF1.724NO_thin185,DF ,1.7,24,NO_thin,185-190,0.90,-0.09,0.81,4.0,1948.8,0.00,1948.8,0.00
DF1.724NO_thin190,DF ,1.7,24,NO_thin,190-195,0.83,-0.08,0.75,3.7,1952.6,0.00,1952.6,0.00
DF1.724NO_thin195,DF ,1.7,24,NO_thin,195-200,0.72,-0.07,0.64,3.2,1955.8,0.00,1955.8,0.00
DF1.724Thinned000,DF ,1.7,24,Thinned,  0-5,5.55,2.66,8.21,41.0,41.0,0.00,41.0,0.00
DF1.724Thinned005,DF ,1.7,24,Thinned,  5-10,16.94,3.28,20.21,101.1,142.1,0.00,142.1,0.00
DF1.724Thinned010,DF ,1.7,24,Thinned, 10-15,34.80,4.68,39.47,197.4,339.5,0.00,339.5,0.00
DF1.724Thinned015,DF ,1.7,24,Thinned, 15-20,-0.78,3.15,2.37,11.9,351.3,-0.45,350.9,25.87
DF1.724Thinned020,DF ,1.7,24,Thinned, 20-25,13.52,-1.51,12.00,60.0,411.3,-0.77,410.6,18.61
DF1.724Thinned025,DF ,1.7,24,Thinned, 25-30,16.98,4.22,21.20,106.0,517.4,-2.45,514.9,11.81
DF1.724Thinned030,DF ,1.7,24,Thinned, 30-35,17.02,1.35,18.37,91.9,609.2,-4.19,605.0,12.32
DF1.724Thinned035,DF ,1.7,24,Thinned, 35-40,14.27,0.17,14.44,72.2,681.4,-5.94,675.5,12.36
DF1.724Thinned040,DF ,1.7,24,Thinned, 40-45,11.75,-0.74,11.01,55.0,736.5,-7.70,728.8,12.41
DF1.724Thinned045,DF ,1.7,24,Thinned, 45-50,10.24,-1.26,8.98,44.9,781.4,-9.32,772.1,11.41
DF1.724Thinned050,DF ,1.7,24,Thinned, 50-55,11.01,-1.41,9.60,48.0,829.4,-10.64,818.7,9.36
DF1.724Thinned055,DF ,1.7,24,Thinned, 55-60,11.28,-1.18,10.09,50.5,879.8,-11.80,868.0,8.17
DF1.724Thinned060,DF ,1.7,24,Thinned, 60-65,10.65,-0.84,9.81,49.0,928.9,-12.84,916.0,7.33
DF1.724Thinned065,DF ,1.7,24,Thinned, 65-70,9.90,-0.55,9.35,46.8,975.6,-13.79,961.8,6.75
DF1.724Thinned070,DF ,1.7,24,Thinned, 70-75,8.80,-0.33,8.47,42.4,1018.0,-14.70,1003.3,6.36
DF1.724Thinned075,DF ,1.7,24,Thinned, 75-80,6.71,-0.23,6.48,32.4,1050.4,-15.55,1034.9,6.07
DF1.724Thinned080,DF ,1.7,24,Thinned, 80-85,5.95,-0.16,5.79,28.9,1079.4,-16.38,1063.0,5.79
DF1.724Thinned085,DF ,1.7,24,Thinned, 85-90,4.68,-0.18,4.50,22.5,1101.9,-17.16,1084.7,5.54
DF1.724Thinned090,DF ,1.7,24,Thinned, 90-95,3.74,-0.19,3.55,17.8,1119.6,-17.91,1101.7,5.29
DF1.724Thinned095,DF ,1.7,24,Thinned, 95-100,2.81,-0.20,2.61,13.1,1132.7,-18.63,1114.1,5.06
DF1.724Thinned100,DF ,1.7,24,Thinned,100-105,2.00,-0.21,1.79,9.0,1141.7,-19.31,1122.4,4.84
DF1.724Thinned105,DF ,1.7,24,Thinned,105-110,1.28,-0.21,1.06,5.3,1147.0,-19.97,1127.0,4.63
DF1.724Thinned110,DF ,1.7,24,Thinned,110-115,0.67,-0.22,0.45,2.2,1149.2,-20.60,1128.6,4.43
DF1.724Thinned115,DF ,1.7,24,Thinned,115-120,0.12,-0.22,-0.10,-0.5,1148.7,-21.19,1127.5,4.24
DF1.724Thinned120,DF ,1.7,24,Thinned,120-125,-0.41,-0.23,-0.63,-3.2,1145.5,-21.77,1123.8,4.06
DF1.724Thinned125,DF ,1.7,24,Thinned,125-130,-0.85,-0.23,-1.08,-5.4,1140.2,-22.32,1117.8,3.89
DF1.724Thinned130,DF ,1.7,24,Thinned,130-135,-1.22,-0.23,-1.45,-7.2,1132.9,-22.85,1110.1,3.73
DF1.724Thinned135,DF ,1.7,24,Thinned,135-140,-1.53,-0.23,-1.76,-8.8,1124.1,-23.36,1100.7,3.58
DF1.724Thinned140,DF ,1.7,24,Thinned,140-145,-1.80,-0.23,-2.03,-10.2,1113.9,-23.84,1090.1,3.43
DF1.724Thinned145,DF ,1.7,24,Thinned,145-150,-2.01,-0.23,-2.24,-11.2,1102.7,-24.31,1078.4,3.29
DF1.724Thinned150,DF ,1.7,24,Thinned,150-155,-2.21,-0.22,-2.43,-12.2,1090.6,-24.76,1065.8,3.16
DF1.724Thinned155,DF ,1.7,24,Thinned,155-160,-2.35,-0.22,-2.57,-12.9,1077.7,-25.19,1052.5,3.03
DF1.724Thinned160,DF ,1.7,24,Thinned,160-165,-2.48,-0.22,-2.69,-13.5,1064.2,-25.60,1038.6,2.91
DF1.724Thinned165,DF ,1.7,24,Thinned,165-170,-2.57,-0.21,-2.78,-13.9,1050.3,-26.00,1024.3,2.80
DF1.724Thinned170,DF ,1.7,24,Thinned,170-175,-2.64,-0.21,-2.85,-14.3,1036.1,-26.38,1009.7,2.69
DF1.724Thinned175,DF ,1.7,24,Thinned,175-180,-2.69,-0.20,-2.89,-14.5,1021.6,-26.74,994.9,2.58
DF1.724Thinned180,DF ,1.7,24,Thinned,180-185,-2.74,-0.20,-2.94,-14.7,1006.9,-27.09,979.8,2.48
DF1.724Thinned185,DF ,1.7,24,Thinned,185-190,-2.74,-0.19,-2.93,-14.6,992.3,-27.43,964.8,2.38
DF1.724Thinned190,DF ,1.7,24,Thinned,190-195,-2.75,-0.18,-2.93,-14.7,977.6,-27.76,949.8,2.29
DF1.724Thinned195,DF ,1.7,24,Thinned,195-200,-2.75,-0.18,-2.93,-14.6,963.0,-28.07,934.9,2.20
EL1.704NO_thin000,EL ,1.7,4,NO_thin,  0-5,0.09,0.51,0.60,3.0,3.0,0.00,3.0,0.00
EL1.704NO_thin005,EL ,1.7,4,NO_thin,  5-10,0.26,0.63,0.89,4.5,7.4,0.00,7.4,0.00
EL1.704NO_thin010,EL ,1.7,4,NO_thin, 10-15,0.80,0.63,1.43,7.1,14.6,0.00,14.6,0.00
EL1.704NO_thin015,EL ,1.7,4,NO_thin, 15-20,2.43,0.63,3.06,15.3,29.9,0.00,29.9,0.00
EL1.704NO_thin020,EL ,1.7,4,NO_thin, 20-25,7.41,0.63,8.04,40.2,70.1,0.00,70.1,0.00
EL1.704NO_thin025,EL ,1.7,4,NO_thin, 25-30,17.97,1.79,19.76,98.8,168.9,0.00,168.9,0.00
EL1.704NO_thin030,EL ,1.7,4,NO_thin, 30-35,14.73,2.20,16.93,84.7,253.5,0.00,253.5,0.00
EL1.704NO_thin035,EL ,1.7,4,NO_thin, 35-40,5.88,0.17,6.05,30.3,283.8,0.00,283.8,0.00
EL1.704NO_thin040,EL ,1.7,4,NO_thin, 40-45,5.97,1.44,7.41,37.1,320.8,0.00,320.8,0.00
EL1.704NO_thin045,EL ,1.7,4,NO_thin, 45-50,4.41,1.72,6.13,30.7,351.5,0.00,351.5,0.00
EL1.704NO_thin050,EL ,1.7,4,NO_thin, 50-55,3.67,1.17,4.83,24.2,375.7,0.00,375.7,0.00
EL1.704NO_thin055,EL ,1.7,4,NO_thin, 55-60,3.21,0.67,3.88,19.4,395.1,0.00,395.1,0.00
EL1.704NO_thin060,EL ,1.7,4,NO_thin, 60-65,2.65,-0.50,2.16,10.8,405.9,0.00,405.9,0.00
EL1.704NO_thin065,EL ,1.7,4,NO_thin, 65-70,2.45,-0.62,1.83,9.2,415.0,0.00,415.0,0.00
EL1.704NO_thin070,EL ,1.7,4,NO_thin, 70-75,2.02,-0.97,1.05,5.3,420.3,0.00,420.3,0.00
EL1.704NO_thin075,EL ,1.7,4,NO_thin, 75-80,1.36,-0.81,0.55,2.7,423.0,0.00,423.0,0.00
EL1.704NO_thin080,EL ,1.7,4,NO_thin, 80-85,1.07,-0.58,0.49,2.5,425.5,0.00,425.5,0.00
EL1.704NO_thin085,EL ,1.7,4,NO_thin, 85-90,0.87,-0.40,0.47,2.3,427.8,0.00,427.8,0.00
EL1.704NO_thin090,EL ,1.7,4,NO_thin, 90-95,0.56,-0.33,0.23,1.1,428.9,0.00,428.9,0.00
EL1.704NO_thin095,EL ,1.7,4,NO_thin, 95-100,0.39,-0.08,0.31,1.6,430.5,0.00,430.5,0.00
EL1.704NO_thin100,EL ,1.7,4,NO_thin,100-105,0.47,-0.07,0.40,2.0,432.5,0.00,432.5,0.00
EL1.704NO_thin105,EL ,1.7,4,NO_thin,105-110,0.51,0.04,0.55,2.8,435.3,0.00,435.3,0.00
EL1.704NO_thin110,EL ,1.7,4,NO_thin,110-115,0.41,-0.08,0.33,1.7,436.9,0.00,436.9,0.00
EL1.704NO_thin115,EL ,1.7,4,NO_thin,115-120,0.34,-0.08,0.26,1.3,438.2,0.00,438.2,0.00
EL1.704NO_thin120,EL ,1.7,4,NO_thin,120-125,0.29,-0.08,0.21,1.1,439.3,0.00,439.3,0.00
EL1.704NO_thin125,EL ,1.7,4,NO_thin,125-130,0.25,-0.06,0.19,0.9,440.2,0.00,440.2,0.00
EL1.704NO_thin130,EL ,1.7,4,NO_thin,130-135,0.21,0.15,0.37,1.8,442.1,0.00,442.1,0.00
EL1.704NO_thin135,EL ,1.7,4,NO_thin,135-140,0.17,-0.08,0.09,0.4,442.5,0.00,442.5,0.00
EL1.704NO_thin140,EL ,1.7,4,NO_thin,140-145,0.29,-0.08,0.21,1.1,443.5,0.00,443.5,0.00
EL1.704NO_thin145,EL ,1.7,4,NO_thin,145-150,0.33,-0.06,0.27,1.4,444.9,0.00,444.9,0.00
EL1.704NO_thin150,EL ,1.7,4,NO_thin,150-155,0.18,-0.06,0.12,0.6,445.5,0.00,445.5,0.00
